city,address,new,rooms,square,floor,floors,price,Пермь,Березники,Оханск,Чайковский,д. Кондратово,остальные
д. Кондратово,"улица Г.Н. Нифантова, 3к1",1,2,58.5,5,9,6550000.0,0,0,0,0,1,0
Пермь,"р-н Индустриальный, Шахтерская улица, 22",0,3,187.65,2,4,6559000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Куйбышева, 135",0,2,209.27,1,25,6560000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, Оханская улица, 17",0,3,216.37,1,6,6627645.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак2",1,1,48.2,1,4,6634412.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, Байкальская улица, 7А",0,2,219.83,3,16,6665000.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Гашкова, 51",1,3,65.1,9,16,6717049.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Куйбышева, 135",0,2,228.15,1,25,6660000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, Оханская улица, 17",0,3,213.76,2,6,6722784.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Гашкова, 51",1,2,61.8,1,16,6679183.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, Байкальская улица, 7А",0,2,215.33,7,7,6665000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,1,220.42,1,17,6677000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,1,218.52,1,17,6697600.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,2,222.08,1,17,6765000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, Краснова мкр, Красное яблоко ЖК",0,3,233.39,2,17,6870000.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Гашкова, 51",1,3,72.1,10,16,6878879.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Куйбышева, 135",0,3,226.36,3,25,6810000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, Краснова мкр, Красное яблоко ЖК",0,2,224.75,1,17,6850000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Куйбышева, 135",0,3,232.82,1,25,6840000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Куйбышева, 135",0,3,228.75,4,25,6920000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Танкистов, 111",0,2,190.18,2,4,6931000.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Серебристая, 12",0,2,181.75,9,16,6990000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,2,224.75,1,17,6970800.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, Целинная улица, 59",0,3,243.28,4,10,7030000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, Байкальская улица, 7А",0,3,232.15,1,16,7005000.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Городские Горки, бульвар Гагарина, 70",0,3,247.46,9,17,7000000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,2,231.47,1,17,7083400.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1А",1,1,49.0,1,4,7249515.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Куйбышева, 135",0,3,245.91,2,25,7150000.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Гашкова, 51",1,3,78.7,1,16,7172191.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,1,232.82,1,17,7158300.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Гашкова, 53к2с2",1,3,70.0,2,16,7294826.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Гашкова, 53к2с2",1,3,69.4,2,16,7294821.0,1,0,0,0,0,0
